2018-08-28|001|H11|MLHJF7230J5126184|108.20|2018-08-28
2018-08-28|001|H11|MLHJF3504K5569840|124.88|2018-08-28
2018-08-28|001|H11|MLHKF3508K5014281|149.32|2018-08-28
2018-08-28|001|T09|SMTDAD74GDK896562|900.00|2018-08-28
2018-08-28|001|H11|MLHJF3509K5572104|124.88|2018-08-28
2018-08-28|001|H11|MLHJF7238J5126739|108.20|2018-08-28
2018-08-28|105|H11|MLHJA2112H5430161|124.89|2018-08-28
2018-08-28|105|H11|MLHJC6188J5710414|124.89|2018-08-28
2018-08-28|105|H11|MLHJC7577J5102262|124.89|2018-08-28
2018-08-28|105|H11|MLHJF6204J5251253|108.20|2018-08-28
2018-08-28|104|H11|MLHJA210XH5181700|124.89|2018-08-28
2018-08-28|105|H11|MLHJA1686J5061164|109.17|2018-08-28
2018-08-28|105|H11|MLHJA1409J5932541|109.17|2018-08-28
2018-08-28|105|H11|MLHJF7251J5121545|108.20|2018-08-28
2018-08-28|105|H11|MLHJA1428J5673171|109.17|2018-08-28
2018-08-28|105|H11|MLHJA2117H5431399|124.89|2018-08-28
2018-08-28|105|H11|MLHJA2108H5187611|124.89|2018-08-28
2018-08-28|105|H11|MLHJA1407J5932537|109.17|2018-08-28
2018-08-28|105|H11|MLHNC5375J5102589|286.01|2018-08-28
2018-08-28|105|H11|MLHJF3507K5572621|124.88|2018-08-28
2018-08-28|105|H11|MLHJA1442J5302573|109.17|2018-08-28
2018-08-28|105|H11|MLHJF3511K5406300|124.88|2018-08-28
2018-08-28|104|H11|MLHJA2106H5188742|124.89|2018-08-28
2018-08-28|105|H11|MLHKF2082J5560550|149.32|2018-08-28
2018-08-28|105|H11|MLHKF2080J5560563|149.32|2018-08-28
2018-08-28|105|H11|MLHKF2081J5560426|149.32|2018-08-28
2018-08-28|105|H11|MLHKF2086J5560390|149.32|2018-08-28
2018-08-28|105|H11|MLHNC5574J5002920|286.01|2018-08-28
2018-08-28|105|H11|MLHKC2883J5025658|149.16|2018-08-28
2018-08-28|105|H11|MLHJC7571J5102287|124.89|2018-08-28
2018-08-28|105|H11|MLHKF2083J5560637|149.32|2018-08-28
2018-08-28|105|H11|MLHKF2081J5560555|149.32|2018-08-28
2018-08-28|105|H11|MLHKF2083J5560427|149.32|2018-08-28
2018-08-28|105|H11|MLHKF2087J5560432|149.32|2018-08-28
2018-08-28|105|H11|MLHKF2085J5560641|149.32|2018-08-28
2018-08-28|105|H11|MLHKF2086J5560423|149.32|2018-08-28
2018-08-28|105|H11|MLHJF3500K5572573|124.88|2018-08-28
2018-08-28|105|H11|MLHJF3506K5572884|124.88|2018-08-28
2018-08-28|105|H11|MLHMD4483H5006030|249.60|2018-08-28
2018-08-28|105|H11|MLHJA1407J5932540|109.17|2018-08-28
2018-08-28|105|H11|MLHJA1404J5932530|109.17|2018-08-28
2018-08-28|105|H11|MLHJA1442J5303688|109.17|2018-08-28
2018-08-28|105|H11|MLHJF7208J5107002|108.20|2018-08-28
2018-08-28|105|H11|MLHJA2103H5187838|124.89|2018-08-28
2018-08-28|105|H11|MLHJA2106H5187817|124.89|2018-08-28
2018-08-28|105|H11|MLHJA2100H5187585|124.89|2018-08-28
2018-08-28|202|H11|MLHKF2080J5542726|149.32|2018-08-28
